submission_id,problem_id,user_id,date,language,original_language,filename_ext,status,cpu_time,memory,code_size,accuracy
s001985365,p02759,u024965372,1600894020,Python,Python (3.8.2),py,Accepted,28,8980,35,
s863835957,p02759,u790949059,1600880431,C++,C++ (GCC 9.2.1),cpp,Accepted,6,3660,1305,
s471034478,p02759,u447351908,1600878653,C++,C++ (GCC 9.2.1),cpp,Accepted,8,3640,568,
s948367953,p02759,u294394140,1600876606,Python,Python (3.8.2),py,Accepted,28,9140,69,
s876271914,p02759,u294394140,1600876390,Python,Python (3.8.2),py,Accepted,27,8956,33,
s804834322,p02759,u294394140,1600876368,Python,Python (3.8.2),py,Runtime Error,25,9144,32,
s919801066,p02759,u119171625,1600872676,C++,C++ (GCC 9.2.1),cpp,Accepted,7,3636,300,
s186520135,p02759,u530041762,1600849573,C++,C++ (GCC 9.2.1),cpp,Accepted,4,3576,133,
s555566177,p02759,u153686508,1600834854,C++,C++ (GCC 9.2.1),cpp,Accepted,10,3632,204,
s391294144,p02759,u901738963,1600823418,C++,C++ (GCC 9.2.1),cpp,Accepted,10,3560,93,
s620487673,p02759,u353919145,1600802224,C++,C++ (GCC 9.2.1),cpp,Accepted,5,1656,185,
s837452175,p02759,u089230684,1600801498,C++,C++ (GCC 9.2.1),cpp,Wrong Answer,5,1712,305,
s266072572,p02759,u915369024,1600800644,C++,C++ (GCC 9.2.1),cpp,Accepted,6,3640,144,
s764111327,p02759,u043589043,1600797554,C++,C++ (GCC 9.2.1),cpp,Accepted,8,3528,157,
s415185121,p02759,u514072920,1600788530,C++,C++ (GCC 9.2.1),cpp,Accepted,8,3620,152,
s007964102,p02759,u084466852,1600749347,C++,C++ (GCC 9.2.1),cpp,Accepted,7,3608,2073,
s945869184,p02759,u430394202,1600746467,Python,Python (3.8.2),py,Accepted,25,9092,64,
s369287541,p02759,u430394202,1600746295,Python,Python (3.8.2),py,Wrong Answer,26,9092,63,
s087762540,p02759,u430394202,1600746193,Python,Python (3.8.2),py,Wrong Answer,30,9120,60,
s114042792,p02759,u499449008,1600743041,Rust,Rust (1.42.0),rs,Accepted,8,2112,189,
s391402052,p02759,u867616076,1600741671,Python,Python (3.8.2),py,Accepted,27,9008,33,
s382081853,p02759,u531456543,1600736748,Python,Python (3.8.2),py,Accepted,25,9048,66,
s089828133,p02759,u189366578,1600733676,C,C (GCC 9.2.1),c,Accepted,5,1732,113,
s162867736,p02759,u107915058,1600728596,Python,Python (3.8.2),py,Accepted,33,9156,32,
s195271883,p02759,u107915058,1600724212,Python,PyPy3 (7.3.0),py,Accepted,59,61800,32,
s674081022,p02759,u669742612,1600723139,Python,Python (3.8.2),py,Accepted,29,9156,65,
s484942652,p02759,u428341537,1600720158,Python,Python (3.8.2),py,Accepted,29,9040,78,
s559019368,p02759,u428341537,1600720081,Python,Python (3.8.2),py,Wrong Answer,25,9016,68,
s116923344,p02759,u428341537,1600720054,Python,Python (3.8.2),py,Runtime Error,26,9068,63,
s770144525,p02759,u734268715,1600716247,Python,Python (3.8.2),py,Accepted,30,9064,38,
s433390838,p02759,u023127434,1600713305,C++,C++ (GCC 9.2.1),cpp,Accepted,9,3640,123,
s961491605,p02759,u699600793,1600710303,C++,C++ (GCC 9.2.1),cpp,Accepted,7,3588,204,
s806499115,p02759,u087130504,1600676145,C++,C++ (GCC 9.2.1),cpp,Accepted,6,3784,110,
s313298606,p02759,u304602561,1600674890,Python,PyPy3 (7.3.0),py,Accepted,78,61252,124,
s792149081,p02759,u741144749,1600657205,C++,C++ (GCC 9.2.1),cpp,Accepted,8,3608,194,
s366840134,p02759,u508934152,1600655254,Python,Python (3.8.2),py,Accepted,31,9128,70,
s094629557,p02759,u039876942,1600649653,C++,C++ (GCC 9.2.1),cpp,Accepted,6,3736,622,
s019078857,p02759,u718536599,1600646776,Python,Python (3.8.2),py,Accepted,28,9092,34,
s449846170,p02759,u695329583,1600641611,Python,Python (3.8.2),py,Accepted,26,9012,101,
s589168177,p02759,u815073939,1600633228,Python,Python (3.8.2),py,Accepted,26,9132,51,
s816002370,p02759,u014139588,1600633147,Python,Python (3.8.2),py,Accepted,30,9148,52,
s781681884,p02759,u339300083,1600630673,C++,C++ (GCC 9.2.1),cpp,Accepted,8,3592,153,
s900770099,p02759,u806399854,1600627391,C++,C++ (GCC 9.2.1),cpp,Accepted,9,3636,127,
s144489462,p02759,u806399854,1600627365,C++,C++ (GCC 9.2.1),cpp,Compile Error,,,127,
s527546736,p02759,u359675319,1600619727,C++,C++ (GCC 9.2.1),cpp,Accepted,5,3596,121,
s224526049,p02759,u768636516,1600619586,Python,PyPy3 (7.3.0),py,Accepted,60,61720,76,
s958116159,p02759,u768636516,1600619509,Python,PyPy3 (7.3.0),py,Runtime Error,93,74816,75,
s935229076,p02759,u166378830,1600612880,C++,C++ (GCC 9.2.1),cpp,Accepted,7,3588,195,
s772414184,p02759,u658600714,1600612717,Python,PyPy3 (7.3.0),py,Accepted,62,62072,48,
s980305766,p02759,u658600714,1600612314,Python,PyPy3 (7.3.0),py,Wrong Answer,64,61692,33,
s094367757,p02759,u877389510,1600611162,Python,Python (3.8.2),py,Accepted,29,9092,34,
s932723802,p02759,u863370423,1600610157,C,C (GCC 9.2.1),c,Accepted,5,1708,147,
s999211571,p02759,u863370423,1600610142,C,C (GCC 9.2.1),c,Compile Error,,,171,
s825398575,p02759,u816631826,1600609878,C,C (Clang 10.0.0),c,Compile Error,,,281,
s561635356,p02759,u863370423,1600609767,C,C (Clang 10.0.0),c,Compile Error,,,175,
s178070282,p02759,u863370423,1600609250,C,C (Clang 10.0.0),c,Wrong Answer,5,2116,152,
s940008633,p02759,u863370423,1600609190,C,C (Clang 10.0.0),c,Compile Error,,,156,
s018724010,p02759,u946467231,1600593737,C++,C++ (Clang 10.0.0),cpp,Accepted,10,3140,679,
s293201562,p02759,u816631826,1600591204,C,C (GCC 9.2.1),c,Accepted,3,1732,171,
s810167795,p02759,u089230684,1600591158,C,C (GCC 9.2.1),c,Compile Error,,,173,
s971526803,p02759,u089230684,1600590244,C,C (GCC 9.2.1),c,Wrong Answer,5,1736,369,
s852840113,p02759,u863370423,1600590217,C++,C++ (GCC 9.2.1),cpp,Wrong Answer,4,1724,369,
s395183285,p02759,u089230684,1600586322,C,C (GCC 9.2.1),c,Wrong Answer,6,1692,104,
s220718907,p02759,u863370423,1600586120,C,C (GCC 9.2.1),c,Wrong Answer,5,1732,134,
s975830009,p02759,u353919145,1600584691,C,C (GCC 9.2.1),c,Wrong Answer,4,1692,89,
s728134334,p02759,u816631826,1600584603,C,C (GCC 9.2.1),c,Wrong Answer,4,1700,94,
s714222222,p02759,u018679195,1600584516,C,C (GCC 9.2.1),c,Wrong Answer,6,1732,130,
s256897444,p02759,u018679195,1600584484,C,C (Clang 10.0.0),c,Accepted,5,2140,186,
s270063598,p02759,u018679195,1600584251,C,C (GCC 9.2.1),c,Wrong Answer,5,1728,133,
