submission_id,problem_id,user_id,date,language,original_language,filename_ext,status,cpu_time,memory,code_size,accuracy
s266371244,p02668,u798339690,1599753028,C++,C++ (GCC 9.2.1),cpp,Accepted,287,200124,487,
s065458678,p02668,u373008269,1599698808,C++,C++ (GCC 9.2.1),cpp,Accepted,1481,398236,1452,
s239844042,p02668,u629015299,1599655979,C++,C++ (GCC 9.2.1),cpp,Accepted,210,3692,17701,
s756594775,p02668,u629015299,1599653290,C++,C++ (GCC 9.2.1),cpp,Accepted,211,3680,17735,
s285158005,p02668,u629015299,1599625279,C++,C++ (GCC 9.2.1),cpp,Accepted,211,3700,17670,
s571698716,p02668,u629015299,1599623443,C++,C++ (GCC 9.2.1),cpp,Accepted,211,3696,17148,
s331062112,p02668,u629015299,1599623085,C++,C++ (GCC 9.2.1),cpp,Accepted,211,3616,17119,
s588738155,p02668,u629015299,1599622190,C++,C++ (GCC 9.2.1),cpp,Accepted,210,3680,16911,
s963370546,p02668,u629015299,1599621109,C++,C++ (GCC 9.2.1),cpp,Accepted,1644,3652,16591,
s031310102,p02668,u629015299,1599620950,C++,C++ (GCC 9.2.1),cpp,Accepted,649,3652,16578,
s312112248,p02668,u629015299,1599620545,C++,C++ (GCC 9.2.1),cpp,Accepted,219,3632,16576,
s079089351,p02668,u629015299,1599620461,C++,C++ (GCC 9.2.1),cpp,Compile Error,,,16568,
s037630003,p02668,u629015299,1599609861,C++,C++ (GCC 9.2.1),cpp,Accepted,213,3684,16541,
s976114375,p02668,u484505863,1599536618,C++,C++ (GCC 9.2.1),cpp,Accepted,471,395028,3372,
s540659641,p02668,u629015299,1599491683,C++,C++ (GCC 9.2.1),cpp,Accepted,221,3732,14814,
s547876855,p02668,u629015299,1599491227,C++,C++ (GCC 9.2.1),cpp,Accepted,227,3732,15490,
s403759304,p02668,u629015299,1599490369,C++,C++ (GCC 9.2.1),cpp,Accepted,251,3688,16887,
s961916482,p02668,u629015299,1599490290,C++,C++ (GCC 9.2.1),cpp,Accepted,981,3700,16877,
s086660079,p02668,u629015299,1599490020,C++,C++ (GCC 9.2.1),cpp,Accepted,238,3656,16884,
s892910444,p02668,u762214354,1599249650,C++,C++ (GCC 9.2.1),cpp,Accepted,291,199124,384,
s333336086,p02668,u648316846,1599249478,C++,C++ (GCC 9.2.1),cpp,Accepted,411,394884,848,
s378113552,p02668,u690281951,1599245314,C++,C++ (GCC 9.2.1),cpp,Accepted,219,101604,837,
s380388174,p02668,u684791042,1599239969,C++,C++ (GCC 9.2.1),cpp,Accepted,169,101348,2293,
s963903765,p02668,u979500307,1599236185,C++,C++ (GCC 9.2.1),cpp,Accepted,220,101572,829,
s440528950,p02668,u026342954,1599233302,C++,C++ (GCC 9.2.1),cpp,Accepted,189,101564,1254,
s470598222,p02668,u648717501,1597776404,C++,C++ (GCC 9.2.1),cpp,Accepted,212,3664,822,
s340545876,p02668,u004411048,1596814505,C++,C++ (GCC 9.2.1),cpp,Wrong Answer,3364,225260,2855,
s761013284,p02668,u742529680,1596672008,C++,C++ (GCC 9.2.1),cpp,Accepted,269,199736,4013,
