submission_id,problem_id,user_id,date,language,original_language,filename_ext,status,cpu_time,memory,code_size,accuracy
s886350325,p03808,u422653647,1601433730,C++,C++ (GCC 9.2.1),cpp,Accepted,1202,3712,2023,
s306720898,p03808,u771111729,1601433561,C++,C++ (GCC 9.2.1),cpp,Accepted,24,4000,557,
s305461937,p03808,u771111729,1601433282,C++,C++ (GCC 9.2.1),cpp,Wrong Answer,24,4008,548,
s168762695,p03808,u495704746,1601389345,C++,C++ (GCC 9.2.1),cpp,Accepted,48,4844,1078,
s767028703,p03808,u495704746,1601387461,C++,C++ (GCC 9.2.1),cpp,Wrong Answer,45,3780,1019,
s383264250,p03808,u495704746,1601387381,C++,C++ (GCC 9.2.1),cpp,Wrong Answer,46,3792,1018,
s521019185,p03808,u221285045,1601377696,Rust,Rust (1.42.0),rs,Accepted,24,4188,3566,
s320075511,p03808,u848153081,1601270228,C++,C++ (Clang 10.0.0),cpp,Accepted,11,4552,11246,
s364813882,p03808,u751730221,1600960769,C++,C++ (GCC 9.2.1),cpp,Accepted,28,7552,1767,
s198131098,p03808,u456353530,1600896372,Python,PyPy3 (7.3.0),py,Accepted,96,85392,333,
s136722932,p03808,u328811800,1600630692,C++,C++ (GCC 9.2.1),cpp,Wrong Answer,21,3948,1371,
s529042831,p03808,u328811800,1600630633,C++,C++ (GCC 9.2.1),cpp,Wrong Answer,23,3988,1550,
s352690051,p03808,u385825353,1600572161,C++,C++ (GCC 9.2.1),cpp,Accepted,45,3984,657,
s780499781,p03808,u385825353,1600563528,C++,C++ (GCC 9.2.1),cpp,Wrong Answer,49,4044,654,
s296837466,p03808,u385825353,1600563483,C++,C++ (GCC 9.2.1),cpp,Wrong Answer,46,4836,660,
s174527267,p03808,u385825353,1600563466,C++,C++ (GCC 9.2.1),cpp,Compile Error,,,665,
s042607619,p03808,u385825353,1600563205,C++,C++ (GCC 9.2.1),cpp,Wrong Answer,47,4044,695,
s170308644,p03808,u385825353,1600563157,C++,C++ (GCC 9.2.1),cpp,Wrong Answer,50,3920,693,
s830806827,p03808,u385825353,1600563036,C++,C++ (GCC 9.2.1),cpp,Wrong Answer,46,4044,689,
s265169047,p03808,u385825353,1600562950,C++,C++ (GCC 9.2.1),cpp,Wrong Answer,47,4048,684,
s158178298,p03808,u385825353,1600562556,C++,C++ (GCC 9.2.1),cpp,Wrong Answer,44,4000,599,
s209191214,p03808,u520276780,1600498166,Python,PyPy3 (7.3.0),py,Wrong Answer,99,87080,217,
s613056028,p03808,u568949253,1600438862,C++,C++ (GCC 9.2.1),cpp,Accepted,18,4024,786,
s015539337,p03808,u449123607,1600373780,C++,C++ (GCC 9.2.1),cpp,Accepted,46,4020,1281,
s824307119,p03808,u136342563,1600285016,C++,C++ (GCC 9.2.1),cpp,Accepted,47,4848,1344,
s884645456,p03808,u136342563,1600284999,C++,C++ (GCC 9.2.1),cpp,Wrong Answer,50,4748,1342,
s887865135,p03808,u136342563,1600283727,C++,C++ (GCC 9.2.1),cpp,Wrong Answer,49,4820,1334,
s669863615,p03808,u136342563,1600283598,C++,C++ (GCC 9.2.1),cpp,Wrong Answer,45,4020,1336,
s512985331,p03808,u136342563,1600282207,C++,C++ (GCC 9.2.1),cpp,Accepted,44,3984,1426,
s814893351,p03808,u136342563,1600282083,C++,C++ (GCC 9.2.1),cpp,Wrong Answer,46,4028,1369,
s059664842,p03808,u136342563,1600282041,C++,C++ (GCC 9.2.1),cpp,Wrong Answer,44,4016,1370,
s236473759,p03808,u136342563,1600281016,C++,C++ (GCC 9.2.1),cpp,Wrong Answer,48,4040,1246,
s076285470,p03808,u490642448,1600213956,Python,PyPy3 (7.3.0),py,Accepted,93,85384,367,
s230235899,p03808,u490642448,1600213843,Python,PyPy3 (7.3.0),py,Wrong Answer,96,85440,362,
s335977184,p03808,u237390401,1599795043,C++,C++ (GCC 9.2.1),cpp,Accepted,46,4020,935,
s064044974,p03808,u237390401,1599794859,C++,C++ (GCC 9.2.1),cpp,Wrong Answer,46,4028,934,
s621215417,p03808,u237390401,1599794828,C++,C++ (GCC 9.2.1),cpp,Wrong Answer,45,3980,918,
s389933944,p03808,u237390401,1599793974,C++,C++ (GCC 9.2.1),cpp,Wrong Answer,44,4056,449,
s219634575,p03808,u110615365,1599542939,C++,C++ (GCC 9.2.1),cpp,Accepted,22,4372,1383,
s627165646,p03808,u110615365,1599542836,C++,C++ (GCC 9.2.1),cpp,Wrong Answer,25,4448,1342,
s218822539,p03808,u110615365,1599538405,C++,C++ (GCC 9.2.1),cpp,Wrong Answer,23,4396,1175,
s918354083,p03808,u110615365,1599538347,C++,C++ (GCC 9.2.1),cpp,Wrong Answer,25,4428,1115,
s551398732,p03808,u620639655,1599457595,D,D (DMD 2.091.0),d,Accepted,48,8552,746,
s546819921,p03808,u620639655,1599457301,D,D (DMD 2.091.0),d,Wrong Answer,43,8544,737,
s469014545,p03808,u368796742,1599347430,Python,Python (3.8.2),py,Accepted,91,20360,338,
s169365583,p03808,u368796742,1599347039,Python,Python (3.8.2),py,Accepted,84,20404,455,
s380643276,p03808,u368796742,1599346950,Python,Python (3.8.2),py,Wrong Answer,87,20544,442,
s742009064,p03808,u368796742,1599346833,Python,Python (3.8.2),py,Wrong Answer,90,20376,442,
s483385919,p03808,u368796742,1599344354,Python,Python (3.8.2),py,Wrong Answer,51,20352,105,
s789821879,p03808,u368796742,1599344081,Python,Python (3.8.2),py,Wrong Answer,55,20376,215,
s783853550,p03808,u368796742,1599344041,Python,Python (3.8.2),py,Wrong Answer,54,20416,215,
s008451208,p03808,u707124227,1599326335,Python,PyPy3 (7.3.0),py,Accepted,99,85540,322,
s922355450,p03808,u845671751,1599240788,C++,C++ (GCC 9.2.1),cpp,Accepted,25,4404,661,
s818021918,p03808,u845671751,1599240682,C++,C++ (GCC 9.2.1),cpp,Wrong Answer,26,4396,659,
s602551433,p03808,u845671751,1599240139,C++,C++ (GCC 9.2.1),cpp,Wrong Answer,23,4404,672,
s825298796,p03808,u965730380,1599178752,C++,C++ (GCC 9.2.1),cpp,Accepted,26,5184,1274,
s890000973,p03808,u965730380,1599178574,C++,C++ (GCC 9.2.1),cpp,Wrong Answer,24,5184,1203,
s272083855,p03808,u342075214,1599093201,C++,C++ (GCC 9.2.1),cpp,Compile Error,,,3272,
s949563496,p03808,u342075214,1599093118,C++,C++ (GCC 9.2.1),cpp,Accepted,25,4752,3359,
s570401868,p03808,u342075214,1599092962,C++,C++ (GCC 9.2.1),cpp,Wrong Answer,29,4784,3300,
