submission_id,problem_id,user_id,date,language,original_language,filename_ext,status,cpu_time,memory,code_size,accuracy
s757207500,p04013,u106342872,1601513851,C++,C++ (GCC 9.2.1),cpp,Wrong Answer,2205,3520,620,
s529112669,p04013,u013345230,1601499998,C++,C++ (GCC 9.2.1),cpp,Accepted,57,67016,606,
s473083494,p04013,u013345230,1601499936,C++,C++ (GCC 9.2.1),cpp,Runtime Error,116,9972,605,
s150229609,p04013,u984276646,1601327844,Python,PyPy3 (7.3.0),py,Accepted,226,67888,304,
s236733924,p04013,u588341295,1601307242,C++,C++ (GCC 9.2.1),cpp,Time Limit Exceeded,2205,3624,3181,
s003180546,p04013,u417309772,1601265912,Haskell,Haskell (GHC 8.8.3),hs,Time Limit Exceeded,2205,4924,237,
s523644527,p04013,u885556801,1601243994,Kotlin,Kotlin (1.3.71),kt,Accepted,442,86900,2655,
s330018056,p04013,u885556801,1601243953,Kotlin,Kotlin (1.3.71),kt,Wrong Answer,533,86480,2655,
s844296231,p04013,u622812523,1601203597,Java,Java (OpenJDK 11.0.6),java,Accepted,109,34864,8815,
s178939200,p04013,u634209474,1601188593,C++,C++ (GCC 9.2.1),cpp,Accepted,9,5588,633,
s170809535,p04013,u240515443,1601175826,Java,Java (OpenJDK 1.8.0),java,Accepted,191,92248,867,
s151847785,p04013,u839333866,1601172577,C++,C++ (GCC 9.2.1),cpp,Wrong Answer,11,4060,991,
s973953360,p04013,u839333866,1601172497,C++,C++ (GCC 9.2.1),cpp,Wrong Answer,7,4132,984,
s097905910,p04013,u839333866,1601172447,C++,C++ (GCC 9.2.1),cpp,Accepted,9,4284,528,
s255069749,p04013,u839333866,1601172284,C++,C++ (GCC 9.2.1),cpp,Wrong Answer,8,4048,864,
s518229904,p04013,u839333866,1601172092,C++,C++ (GCC 9.2.1),cpp,Runtime Error,112,3888,663,
s520217850,p04013,u839333866,1601172050,C++,C++ (GCC 9.2.1),cpp,Compile Error,,,665,
s758673093,p04013,u839333866,1601171993,C++,C++ (GCC 9.2.1),cpp,Runtime Error,2205,3884,674,
